student_name,exam_mode,tot_question,tot_que_attempted,que_att_within_idl_time,idl_time_correct_que,tot_correct_que,questions_to_pass,result,tot_exam_time,exam_finish_time_in_sec,finish_time_in_min,prediction
Abby Elmes,remote,20,10,6,4,5,12,fail,60,757,12,Genuine
Abeu Goning,remote,50,18,10,10,18,30,fail,150,7302,121,Genuine
Ad Heggison,center_based,40,37,28,22,30,24,pass,120,4345,72,Genuine
Adah Island,remote,20,18,15,11,12,12,pass,60,3179,52,Genuine
Adah Reading,remote,30,14,5,1,11,18,fail,90,241,4,Genuine
Adda Ibbs,remote,40,22,15,5,22,24,fail,120,1842,30,Genuine
Addie Frude,remote,20,20,13,1,7,12,fail,60,3343,55,Genuine
Addy Defond,center_based,20,20,0,0,5,12,fail,60,3387,56,Genuine
Adel Sangra,remote,40,33,20,0,6,24,fail,120,2775,46,Genuine
Adelina MacGiany,center_based,40,19,14,5,14,24,fail,120,1567,26,Genuine
Adham Neno,center_based,20,16,6,3,6,12,fail,60,2993,49,Genuine
Adolph Maulkin,remote,40,28,7,,19,24,fail,120,6532,108,Genuine
Adorne Carden,center_based,30,13,3,,1,18,fail,90,5168,86,Genuine
Agata Niesing,remote,40,40,37,7,16,24,fail,120,3584,59,Genuine
Agnesse Thyng,center_based,40,32,7,4,20,24,fail,120,4290,71,Genuine
Agneta Harbord,remote,40,33,23,0,21,24,fail,120,4663,77,Genuine
Aguistin Berthel,center_based,30,25,8,6,9,18,fail,90,5008,83,Genuine
Aguistin Egglestone,remote,20,16,8,3,6,12,fail,60,1029,17,Genuine
Aland Adshede,remote,30,29,4,4,9,18,fail,90,3306,55,Genuine
Alasteir Babin,remote,30,22,10,5,17,18,fail,90,3308,55,Genuine
Alasteir Panas,center_based,30,14,8,6,7,18,fail,90,4985,83,Genuine
Alayne Digger,remote,40,10,0,0,3,24,fail,120,1317,21,Genuine
Albertina Cinnamond,remote,40,34,20,2,15,24,fail,120,2560,42,Genuine
Albertine Summerscales,remote,40,18,5,2,11,24,fail,120,3783,63,Genuine
Albina Thys,remote,30,10,8,5,7,18,fail,90,4668,77,Genuine
Aldin Tomes,center_based,40,23,3,2,15,24,fail,120,1401,23,Genuine
Aldon Wolfarth,center_based,20,10,10,10,10,12,fail,60,1351,22,Genuine
Aldus Rawles,center_based,40,38,17,9,15,24,fail,120,1093,18,Genuine
Aldwin Harpin,remote,20,15,0,0,7,12,fail,60,607,10,Genuine
Alessandra Stollenhof,center_based,30,23,16,7,8,18,fail,90,3462,57,Genuine
Alfie Scripture,remote,50,24,5,2,18,30,fail,150,565,9,Genuine
Alfy Draaisma,remote,50,20,3,0,19,30,fail,150,8235,137,Genuine
Alfy Drever,remote,20,10,0,0,0,12,fail,60,799,13,Genuine
Alicea Lammerding,remote,20,18,10,1,16,12,pass,60,2130,35,Genuine
Alick Billitteri,center_based,40,12,2,0,8,24,fail,120,7077,117,Genuine
Alina Doohey,remote,20,19,14,0,18,12,pass,60,3562,59,Genuine
Allard Grishelyov,remote,40,24,8,0,7,24,fail,120,6815,113,Genuine
Allayne Minchinton,center_based,30,12,3,3,10,18,fail,90,4820,80,Genuine
Alley Bulcroft,center_based,30,13,11,2,7,18,fail,90,4579,76,Genuine
Alley Learmont,remote,30,21,20,0,7,18,fail,90,318,5,Genuine
Allina Jayes,center_based,20,19,0,0,15,12,pass,60,242,4,Genuine
Allistir Stedell,remote,40,13,12,2,4,24,fail,120,6628,110,Genuine
Allyce Alenikov,remote,20,10,3,1,3,12,fail,60,351,5,Genuine
Allyce Southwick,remote,20,19,2,2,5,12,fail,60,2975,49,Genuine
Allyson Verzey,remote,50,24,19,12,23,30,fail,150,4406,73,Genuine
Almeda Lotterington,remote,50,24,0,0,20,30,fail,150,5467,91,Genuine
Almeda Ricca,remote,30,15,8,0,6,18,fail,90,4400,73,Genuine
Alonzo Faas,center_based,30,21,4,3,3,18,fail,90,593,9,Genuine
Alonzo Hadaway,remote,40,39,33,6,39,24,pass,120,3184,53,Genuine
Aloysius Bredes,center_based,50,37,29,23,23,30,fail,150,244,4,Genuine
Aluin Petticrow,remote,40,11,1,0,9,24,fail,120,1124,18,Genuine
Aluino Gallahue,center_based,30,23,10,8,8,18,fail,90,4560,76,Genuine
Aluino Teague,center_based,20,14,12,6,8,12,fail,60,2695,44,Genuine
Alvie Hugonneau,remote,20,12,3,2,11,12,fail,60,2263,37,Genuine
Alvin Hurton,remote,50,44,13,8,14,30,fail,150,4313,71,Genuine
Alvis Dowda,remote,20,18,1,1,17,12,pass,60,3260,54,Genuine
Alvy Danko,center_based,30,13,9,1,1,18,fail,90,3166,52,Genuine
Alyosha Fibben,center_based,50,25,18,13,24,30,fail,150,6203,103,Genuine
Alys Elsegood,remote,20,20,12,11,13,12,pass,60,1948,32,Genuine
Amabelle Caroline,center_based,30,11,5,5,8,18,fail,90,106,1,Genuine
Amalea Barles,remote,20,15,9,6,11,12,fail,60,454,7,Genuine
Amargo Karlik,center_based,20,11,8,3,6,12,fail,60,2815,46,Genuine
Ambrosius O'Sheilds,center_based,50,24,10,2,24,30,fail,150,7475,124,Genuine
Amelia Martlew,remote,20,12,5,2,7,12,fail,60,962,16,Genuine
Amelia Orans,remote,50,28,9,4,16,30,fail,150,2701,45,Genuine
Amil Christou,remote,20,10,9,1,6,12,fail,60,3579,59,Genuine
Amos Arndell,remote,30,16,3,2,7,18,fail,90,2930,48,Genuine
Amos Cottie,center_based,40,13,4,1,5,24,fail,120,1139,18,Genuine
Anabel Bayley,remote,50,39,0,0,1,30,fail,150,7484,124,Genuine
Anabelle Eynald,remote,20,17,17,11,11,12,fail,60,625,10,Genuine
Anastasie Philippeaux,remote,40,37,31,31,31,24,pass,120,1434,23,Cheating
Anatola Ilott,remote,40,33,24,8,18,24,fail,120,2893,48,Genuine
Anatole Bootyman,remote,30,14,11,1,12,18,fail,90,2671,44,Genuine
Andeee Walbrook,remote,20,17,12,9,13,12,pass,60,261,4,Genuine
Andreana Rylett,remote,40,22,18,4,4,24,fail,120,1931,32,Genuine
Andriana Spenclay,remote,20,13,12,11,12,12,pass,60,1156,19,Genuine
Andris Coult,remote,40,33,8,8,21,24,fail,120,3491,58,Genuine
Anestassia Pollock,remote,20,16,15,12,15,12,pass,60,1958,32,Cheating
Anett Emmatt,remote,20,11,5,2,9,12,fail,60,2227,37,Genuine
Anett Jagg,remote,30,13,2,2,3,18,fail,90,5380,89,Genuine
Angela Armstead,center_based,30,29,5,1,6,18,fail,90,3403,56,Genuine
Angelina Adriaan,remote,40,32,30,24,31,24,pass,120,5803,96,Cheating
Angeline Sotworth,remote,40,17,12,4,6,24,fail,120,3039,50,Genuine
Angeline Strudwick,remote,40,38,16,9,32,24,pass,120,1711,28,Genuine
Angelita Filby,remote,20,17,11,11,17,12,pass,60,3370,56,Genuine
Angelo Kidwell,remote,50,28,16,9,16,30,fail,150,4401,73,Genuine
Anica Grooby,remote,20,13,12,8,10,12,fail,60,3105,51,Genuine
Anjanette Laugier,center_based,30,20,3,2,10,18,fail,90,1536,25,Genuine
Anjela Stollwerck,remote,40,26,20,3,21,24,fail,120,6616,110,Genuine
Anna Bushe,center_based,50,18,17,14,16,30,fail,150,516,8,Genuine
Annabal Roubeix,remote,50,40,36,7,18,30,fail,150,820,13,Genuine
Annabell Evitt,center_based,40,12,8,7,8,24,fail,120,6760,112,Genuine
Annabelle Kmieciak,remote,50,14,1,0,5,30,fail,150,162,2,Genuine
Anne-corinne Aicken,remote,20,13,3,0,12,12,pass,60,2133,35,Genuine
Annelise Duling,remote,50,37,29,1,12,30,fail,150,5042,84,Genuine
Annissa Baly,remote,20,19,17,9,18,12,pass,60,1888,31,Genuine
Annora Blench,center_based,20,13,6,6,10,12,fail,60,1323,22,Genuine
Anny Bediss,remote,30,22,15,11,22,18,pass,90,3230,53,Genuine
Anny Nial,remote,40,25,5,5,24,24,pass,120,5638,93,Genuine
Anthony Saffe,remote,30,11,4,1,7,18,fail,90,403,6,Genuine
